timestamp,service,latency,latency_delta,rolling_mean,rolling_std,safe_std,z_score,is_spike,risk_score
2026-02-12 15:51:07.118439+00:00,inventory,0.0003263404423076,0.0,0.0003263404423076,0.0,1e-06,0.0,0,0.5
2026-02-12 15:51:12.338592+00:00,inventory,0.0003254096538461,-9.307884614999808e-07,0.0003254096538461,0.0,1e-06,0.0,0,0.5
2026-02-12 15:51:17.540796+00:00,inventory,0.0003060622444444,-1.9347409401700003e-05,0.0003060622444444,0.0,1e-06,0.0,0,0.5
2026-02-12 15:51:22.754856+00:00,inventory,0.000289168,-1.6894244444399988e-05,0.000289168,0.0,1e-06,0.0,0,0.5
2026-02-12 15:51:27.981742+00:00,inventory,0.0002753434782608,-1.3824521739200027e-05,0.0002753434782608,0.0,1e-06,0.0,0,0.5
2026-02-12 15:51:33.193179+00:00,inventory,0.0002686577692307,-6.685709030099967e-06,0.0002686577692307,0.0,1e-06,0.0,0,0.5
2026-02-12 15:51:38.433658+00:00,inventory,0.0002592125833333,-9.445185897400028e-06,0.0002592125833333,0.0,1e-06,0.0,0,0.5
2026-02-12 15:51:43.711001+00:00,inventory,0.0002763062121212,1.7093628787899983e-05,0.0002763062121212,0.0,1e-06,0.0,0,0.5
2026-02-12 15:51:48.964927+00:00,inventory,0.0002885001276595,1.2193915538300036e-05,0.0002885001276595,0.0,1e-06,0.0,0,0.5
2026-02-12 15:51:54.218294+00:00,inventory,0.0002955363191489,7.036191489399998e-06,0.0002955363191489,0.0,1e-06,0.0,0,0.5
2026-02-12 15:51:59.463601+00:00,inventory,0.0003006849130434,5.148593894499997e-06,0.0003006849130434,0.0,1e-06,0.0,0,0.5
2026-02-12 15:52:04.689478+00:00,inventory,0.0003038116346153,3.1267215718999925e-06,0.0003038116346153,0.0,1e-06,0.0,0,0.5
2026-02-12 15:52:09.924747+00:00,inventory,0.0003011350749999,-2.676559615399985e-06,0.0003011350749999,0.0,1e-06,0.0,0,0.5
2026-02-12 15:52:15.141718+00:00,inventory,0.0002793143999999,-2.182067499999999e-05,0.0002793143999999,0.0,1e-06,0.0,0,0.5
2026-02-12 15:52:20.347243+00:00,inventory,0.0002740806388888,-5.23376111110003e-06,0.0002740806388888,0.0,1e-06,0.0,0,0.5
2026-02-12 15:52:25.569938+00:00,inventory,0.0002721553421052,-1.9252967835999804e-06,0.0002721553421052,0.0,1e-06,0.0,0,0.5
2026-02-12 15:52:30.795692+00:00,inventory,0.0002627383404255,-9.417001679700009e-06,0.0002627383404255,0.0,1e-06,0.0,0,0.5
2026-02-12 15:52:36.008955+00:00,inventory,0.0002581673272727,-4.57101315280001e-06,0.0002581673272727,0.0,1e-06,0.0,0,0.5
2026-02-12 15:52:41.222455+00:00,inventory,0.0002587673877551,6.000604824000274e-07,0.0002587673877551,0.0,1e-06,0.0,0,0.5
2026-02-12 15:52:46.457127+00:00,inventory,0.0002547543695652,-4.013018189900029e-06,0.0002838073129511,2.17569923899029e-05,2.17569923899029e-05,-1.3353382151929716,0,0.20827773271842803
2026-02-12 15:52:51.678549+00:00,inventory,0.0002480448979591,-6.709471606100017e-06,0.0002798925357337,2.072037042343796e-05,2.072037042343796e-05,-1.537020676936131,0,0.1769687981440627
2026-02-12 15:52:56.895865+00:00,inventory,0.0002366948157894,-1.1350082169699975e-05,0.0002754567938309,1.994473958053352e-05,1.994473958053352e-05,-1.9434687469839151,0,0.125267272914046
2026-02-12 15:53:02.106757+00:00,inventory,0.0002399182121212,3.223396331799986e-06,0.0002721495922147,2.00861377098154e-05,2.00861377098154e-05,-1.6046579267327055,0,0.16733161177961262
2026-02-12 15:53:07.335374+00:00,inventory,0.0002519973243243,1.207911220310002e-05,0.0002702910584309,2.0148149157428912e-05,2.0148149157428912e-05,-0.9079610223083368,0,0.2874172562919257
2026-02-12 15:53:12.567436+00:00,inventory,0.0002593657142857,7.368389961399978e-06,0.0002694921702322,2.02537613484035e-05,2.02537613484035e-05,-0.4999790296876502,0,0.377545596912049
2026-02-12 15:53:17.830359+00:00,inventory,0.0003012871290322,4.19214147465e-05,0.0002711236382222,2.146119086117055e-05,2.146119086117055e-05,1.4054900776533517,0,0.8030536358615692
2026-02-12 15:53:23.050660+00:00,inventory,0.0003132434333333,1.195630430110003e-05,0.0002738251807222,2.3212189203146813e-05,2.3212189203146813e-05,1.6981703994449682,1,0.8452956274745618
2026-02-12 15:53:28.264586+00:00,inventory,0.00030969065625,-3.5527770833000336e-06,0.0002754944029287,2.456115845350772e-05,2.456115845350772e-05,1.3922899193061562,0,0.8009575641019765
2026-02-12 15:53:33.482350+00:00,inventory,0.0002986250833333,-1.1065572916699963e-05,0.0002760006507124,2.4944689711042853e-05,2.4944689711042853e-05,0.9069839265582968,0,0.712382584557968
2026-02-12 15:53:38.712721+00:00,inventory,0.0002900946216216,-8.530461711699988e-06,0.000275728565836,2.474930134256184e-05,2.474930134256184e-05,0.5804630840586373,0,0.6411739550083193
2026-02-12 15:53:43.945295+00:00,inventory,0.0002873416944444,-2.7529271772000507e-06,0.0002750614049061,2.4215234263149634e-05,2.4215234263149634e-05,0.5071307345140122,0,0.624133611165895
