timestamp,service,latency,latency_delta,rolling_mean,rolling_std,failure
2026-02-12 13:26:47.877437+00:00,inventory,0.0008788727272727,0.0,0.0008788727272727,0.0,0
2026-02-12 13:39:08.498271+00:00,inventory,0.0005797545454545,-0.0002991181818182,0.0005797545454545,0.0,0
2026-02-12 13:39:52.804654+00:00,inventory,0.0006200416666666,4.02871212121e-05,0.0006200416666666,0.0,0
2026-02-12 13:39:58.028589+00:00,inventory,0.0006013785714285,-1.8663095238099996e-05,0.0006013785714285,0.0,0
2026-02-12 13:40:03.230042+00:00,inventory,0.0005879083333333,-1.3470238095199933e-05,0.0006535911688311,0.0001268558106942,0
2026-02-12 13:40:08.442481+00:00,inventory,0.0005767181818181,-1.1190151515200024e-05,0.0005931602597402,1.7803009002964026e-05,0
2026-02-12 13:40:13.664243+00:00,inventory,0.0005826499999999,5.931818181800015e-06,0.0005937393506492,1.729786237611693e-05,0
2026-02-12 13:40:18.884624+00:00,inventory,0.0005211846153846,-6.146538461530003e-05,0.0005739679403928,3.088162331772247e-05,0
2026-02-12 13:40:24.179045+00:00,inventory,0.0005466833333333,2.549871794870005e-05,0.0005630288927738,2.8326188896132358e-05,0
2026-02-12 13:40:29.393845+00:00,inventory,0.0005478615384615,1.1782051281999158e-06,0.0005550195337994,2.4999024120458458e-05,0
2026-02-12 13:40:34.630718+00:00,inventory,0.0005442142857142,-3.647252747299937e-06,0.0005485187545787,2.19910563403792e-05,0
2026-02-12 13:40:39.865652+00:00,inventory,0.0005390666666666,-5.147619047600016e-06,0.000539802087912,1.0942176415943451e-05,0
2026-02-12 13:40:45.095048+00:00,inventory,0.0005984272727272,5.936060606059998e-05,0.0005552506193805,2.4371814086680677e-05,0
2026-02-12 13:40:50.296671+00:00,inventory,0.00060977,1.1342727272800049e-05,0.0005678679527139,3.3462367886147936e-05,0
2026-02-12 13:40:55.501140+00:00,inventory,0.0006395999999999,2.982999999989993e-05,0.0005862156450215,4.3419353949901735e-05,0
2026-02-12 13:41:00.714334+00:00,inventory,0.0006365,-3.0999999998999493e-06,0.0006046727878787,4.062644689542583e-05,0
2026-02-12 13:41:05.927190+00:00,inventory,0.0006023,-3.420000000000007e-05,0.0006173194545454,1.938948711487958e-05,0
2026-02-12 13:41:11.154068+00:00,inventory,0.0005366499999999,-6.565000000009996e-05,0.0006049639999999,4.150653237746658e-05,0
2026-02-12 13:41:16.387476+00:00,inventory,0.0005308857142857,-5.764285714200028e-06,0.0005891871428571,5.270464303986612e-05,0
2026-02-12 13:41:21.582964+00:00,inventory,0.0004918923076923,-3.899340659339998e-05,0.0005596456043955,5.846459164083157e-05,0
2026-02-12 13:41:26.825415+00:00,inventory,0.0005432846153846,5.1392307692300064e-05,0.0005410025274725,3.967271151186323e-05,0
2026-02-12 13:41:32.095440+00:00,inventory,0.0005934769230769,5.0192307692299926e-05,0.0005392379120878,3.631910266417445e-05,0
2026-02-12 13:41:37.308494+00:00,inventory,0.0006500181818181,5.654125874120003e-05,0.0005619115484515,6.11788583092551e-05,0
2026-02-12 13:41:42.529630+00:00,inventory,0.0006142083333333,-3.5809848484800034e-05,0.000578576072261,6.195811159644783e-05,0
2026-02-12 13:41:47.742910+00:00,inventory,0.0005973583333333,-1.6850000000000003e-05,0.0005996692773892,3.863066187844725e-05,0
2026-02-12 13:41:52.943384+00:00,inventory,0.0005665333333333,-3.082499999999995e-05,0.0006043190209789,3.0740739461327694e-05,0
2026-02-12 13:41:58.162585+00:00,inventory,0.0005541923076923,-1.234102564099998e-05,0.000596462097902,3.829638477500344e-05,0
2026-02-12 13:42:03.369800+00:00,inventory,0.000547725,-6.467307692300042e-06,0.0005760034615384,2.8638802024261388e-05,0
2026-02-12 13:42:08.580663+00:00,inventory,0.0005343363636363,-1.3388636363700045e-05,0.000560029067599,2.3881752634639782e-05,0
2026-02-12 13:42:13.786489+00:00,inventory,0.0005408416666666,6.505303030300037e-06,0.0005487257342657,1.2421835489056525e-05,0
2026-02-12 13:42:18.973468+00:00,inventory,0.0005364,-4.441666666599956e-06,0.000542699067599,8.222189075146804e-06,0
2026-02-12 13:42:24.168068+00:00,inventory,0.0005304818181818,-5.918181818199975e-06,0.0005379569696969,6.6171505511452245e-06,0
2026-02-12 13:42:29.362102+00:00,inventory,0.000530509090909,2.7272727199973042e-08,0.0005345137878787,4.356767808207274e-06,0
2026-02-12 13:42:34.590323+00:00,inventory,0.0005532181818181,2.2709090909100007e-05,0.0005382901515151,9.413341126366496e-06,0
2026-02-12 13:42:39.821024+00:00,inventory,0.00055467,1.4518181818999132e-06,0.0005410558181817,1.2020696848658462e-05,0
2026-02-12 13:42:45.037425+00:00,inventory,0.0005548818181818,2.1181818180004974e-07,0.0005447521818181,1.3030298570131882e-05,0
2026-02-12 13:42:50.269219+00:00,inventory,0.0005616545454545,6.772727272700012e-06,0.0005509867272726,1.1904343286862398e-05,0
2026-02-12 13:42:55.469792+00:00,inventory,0.0005783818181818,1.6727272727299963e-05,0.0005605612727272,1.0483932562909273e-05,0
2026-02-12 13:43:00.691815+00:00,inventory,0.0005252833333333,-5.309848484850001e-05,0.0005549743030302,1.919760557819248e-05,0
2026-02-12 13:43:05.904788+00:00,inventory,0.0005144083333333,-1.0874999999999926e-05,0.0005469219696969,2.6436230708581365e-05,0
2026-02-12 13:43:11.125431+00:00,inventory,0.0005304909090909,1.6082575757599962e-05,0.0005420437878787,2.684741352435411e-05,0
2026-02-12 13:43:16.323304+00:00,inventory,0.0005097909090909,-2.0700000000000012e-05,0.000531671060606,2.738993188121096e-05,0
